a,b,d
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №10"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №5"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №1"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Computer graphics"",""tagline"":""""}","{""name"":""User №1"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Computer graphics"",""tagline"":""""}","{""name"":""User №9"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №10"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №5"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №1"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Computer graphics"",""tagline"":""""}","{""name"":""User №1"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Computer graphics"",""tagline"":""""}","{""name"":""User №9"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Programming Python"",""tagline"":""""}","{""name"":""User №4"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Introduction to Neural Networks"",""tagline"":""""}","{""name"":""No data about students"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""The basics of web design"",""tagline"":""""}","{""name"":""User №8"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Programming Java"",""tagline"":""""}","{""name"":""User №2"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""PHP Basics."",""tagline"":""""}","{""name"":""User №6"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Programming c++"",""tagline"":""""}","{""name"":""User №3"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Programming c++"",""tagline"":""""}","{""name"":""User №7"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Programming c++"",""tagline"":""""}","{""name"":""User №3"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Programming c++"",""tagline"":""""}","{""name"":""User №7"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №10"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №5"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Work with html, css"",""tagline"":""""}","{""name"":""User №1"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Mobile applications for Android"",""tagline"":""""}","{""name"":""User №3"",""tagline"":""""}"
"{""title"":""All courses"",""tagline"":""All areas of online courses.""}","{""name"":""Basics of cryptography"",""tagline"":""""}","{""name"":""No data about students"",""tagline"":""""}"
