a,b,d
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №9"",""tagline"":""""}","{""name"":""Computer graphics"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №4"",""tagline"":""""}","{""name"":""Programming Python"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №3"",""tagline"":""""}","{""name"":""Mobile applications for Android"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №3"",""tagline"":""""}","{""name"":""Programming c++"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №5"",""tagline"":""""}","{""name"":""Work with html, css"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №10"",""tagline"":""""}","{""name"":""Work with html, css"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №2"",""tagline"":""""}","{""name"":""Programming Java"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №1"",""tagline"":""""}","{""name"":""Work with html, css"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №1"",""tagline"":""""}","{""name"":""Computer graphics"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №6"",""tagline"":""""}","{""name"":""PHP Basics."",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №1"",""tagline"":""""}","{""name"":""Work with html, css"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №1"",""tagline"":""""}","{""name"":""Computer graphics"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №8"",""tagline"":""""}","{""name"":""The basics of web design"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №7"",""tagline"":""""}","{""name"":""Programming c++"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №3"",""tagline"":""""}","{""name"":""Mobile applications for Android"",""tagline"":""""}"
"{""title"":""All users"",""tagline"":""All users registered on courses.""}","{""name"":""User №3"",""tagline"":""""}","{""name"":""Programming c++"",""tagline"":""""}"
